container_source_id,container_relative_path,entry_path,archive_depth,uncompressed_bytes,compressed_bytes,crc32,sha256,outer_exact_match_paths,inspection_status
SRC-8D9703BB80BC4F51,09-original-archives/fitness-ecosystem-research-claude-code.zip,fitness-ecosystem-research/.claude/skills/audit-app/SKILL.md,1,663,430,49F13C5C,F5E3C85E26EEDBCC211A370A8B687BBDE023708CC8670CEBA8E721086686CB72,06-cross-system/fitness-ecosystem-research/.claude/skills/audit-app/SKILL.md,content_hashed_not_executed
SRC-8D9703BB80BC4F51,09-original-archives/fitness-ecosystem-research-claude-code.zip,fitness-ecosystem-research/.claude/skills/contract-review/SKILL.md,1,574,334,91A8392C,3DF7FC3F363A4D16B8A866516D026DC72A36CB520742E5FE3FD30BE7A136B746,06-cross-system/fitness-ecosystem-research/.claude/skills/contract-review/SKILL.md,content_hashed_not_executed
SRC-8D9703BB80BC4F51,09-original-archives/fitness-ecosystem-research-claude-code.zip,fitness-ecosystem-research/.claude/skills/release-gate/SKILL.md,1,508,335,26D6592D,E3010898A8E9A5A93C924EDFDC231A832D31EDB82F95D78D6B83B72B2A4E8DAC,06-cross-system/fitness-ecosystem-research/.claude/skills/release-gate/SKILL.md,content_hashed_not_executed
SRC-8D9703BB80BC4F51,09-original-archives/fitness-ecosystem-research-claude-code.zip,fitness-ecosystem-research/.claude/skills/security-review/SKILL.md,1,598,364,678E7450,05D248116778942F554D5FF7F9C9F5597B2305DF55DB885016356705D6EC0EDF,06-cross-system/fitness-ecosystem-research/.claude/skills/security-review/SKILL.md,content_hashed_not_executed
SRC-8D9703BB80BC4F51,09-original-archives/fitness-ecosystem-research-claude-code.zip,fitness-ecosystem-research/.gitignore,1,382,244,64973B4F,8D20F4700C98067248BCBB738587D260DE3BCCF020858B2D0109B4095F8691ED,06-cross-system/fitness-ecosystem-research/.gitignore,content_hashed_not_executed
SRC-8D9703BB80BC4F51,09-original-archives/fitness-ecosystem-research-claude-code.zip,fitness-ecosystem-research/CLAUDE.md,1,3537,1806,5104F646,5D33D3FE10B4D55106D2250B91716921B43801DDA12CCB0FCE1BE4822D0D5B5D,06-cross-system/fitness-ecosystem-research/CLAUDE.md,content_hashed_not_executed
SRC-8D9703BB80BC4F51,09-original-archives/fitness-ecosystem-research-claude-code.zip,fitness-ecosystem-research/DECISION_LOG.md,1,1822,882,D6BFE875,613AF6F822006F699760DA64365F5C5AE6659E8777E2AB346BF758BC56A94BB0,06-cross-system/fitness-ecosystem-research/DECISION_LOG.md,content_hashed_not_executed
SRC-8D9703BB80BC4F51,09-original-archives/fitness-ecosystem-research-claude-code.zip,fitness-ecosystem-research/HANDOFF_TO_CLAUDE_CODE.md,1,3812,1923,A3650AE7,013DD40EF51986EF53A9AA986E54F9DF54DF19861824D898F28A6AC89726871B,06-cross-system/fitness-ecosystem-research/HANDOFF_TO_CLAUDE_CODE.md,content_hashed_not_executed
SRC-8D9703BB80BC4F51,09-original-archives/fitness-ecosystem-research-claude-code.zip,fitness-ecosystem-research/PROJECT_CONTEXT.md,1,4214,2100,70399E76,09C5CEA9476FEA2209746F6ED26629306D083BD6F08EA74845116AE72D04C48E,06-cross-system/fitness-ecosystem-research/PROJECT_CONTEXT.md,content_hashed_not_executed
SRC-8D9703BB80BC4F51,09-original-archives/fitness-ecosystem-research-claude-code.zip,fitness-ecosystem-research/README.md,1,5488,2380,99AAB18F,72F48556C6217D18239A6E65D5D13A0D73BD35DF2B35F2A33E8D2FE5D838267A,06-cross-system/fitness-ecosystem-research/README.md,content_hashed_not_executed
